Identificação,QNT_Quantum,MediaTrocas,MediaIntrucoes,Tipo
Quantum1,1,8.1,0.7679558011049724,Quantum1
Quantum2,2,5.4,1.1487603305785123,Quantum2
Quantum3,3,4.6,1.3238095238095238,Quantum3
Quantum4,4,4.3,1.4329896907216495,Quantum4
Quantum5,5,3.8,1.759493670886076,Quantum5
Quantum6,6,3.6,1.8289473684210527,Quantum6
Quantum7,7,3.5,1.9305555555555556,Quantum7
Quantum8,8,3.5,1.9305555555555556,Quantum8
Quantum9,9,3.5,1.9305555555555556,Quantum9
Quantum10,10,3.5,1.9305555555555556,Quantum10
Quantum11,11,3.5,1.9305555555555556,Quantum11
Quantum12,12,3.5,1.9305555555555556,Quantum12
Quantum13,13,3.5,1.9305555555555556,Quantum13
Quantum14,14,3.4,1.9857142857142858,Quantum14
Quantum15,15,3.4,1.9857142857142858,Quantum15
Quantum16,16,3.4,1.9857142857142858,Quantum16
Quantum17,17,3.4,1.9857142857142858,Quantum17
Quantum18,18,3.4,1.9857142857142858,Quantum18
Quantum19,19,3.4,1.9857142857142858,Quantum19
Quantum20,20,3.4,1.9857142857142858,Quantum20
Quantum21,21,3.3,2.0441176470588234,Quantum21
